********************************************************************************
Field Output Report, written Wed Oct 28 16:02:05 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/PressureSteps/PressureJob.odb
   Step: Step-Pressure
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1          @Loc 1
---------------------------------------------------------------------------------
            9082         11.2991    -138.832E-03         11.2974    -138.920E-03
            9083         11.5554    -129.081E-03         11.5539    -133.189E-03
            9084         11.5123    -128.573E-03         11.5109    -126.385E-03
            9085         11.4433    -119.934E-03         11.4420    -124.743E-03
            9086         11.5417    -129.858E-03         11.5402    -134.608E-03
            9087         11.5127    -129.660E-03         11.5113    -129.908E-03
            9088         11.4527    -120.200E-03         11.4513    -126.095E-03
            9089         11.2915    -138.601E-03         11.2898    -137.595E-03
            9090         11.3041    -138.899E-03         11.3023    -139.573E-03
            9091         11.5518    -128.797E-03         11.5503    -132.116E-03
            9092         11.4397    -119.853E-03         11.4384    -124.084E-03
            9093         11.5342    -130.666E-03         11.5326    -136.926E-03
            9094         11.5308    -131.388E-03         11.5292    -138.940E-03
            9095         11.5036    -130.338E-03         11.5021    -131.960E-03
            9096         11.4916    -130.586E-03         11.4901    -132.435E-03
            9097         11.5108    -128.020E-03         11.5094    -125.521E-03
            9098         11.5467    -129.098E-03         11.5452    -132.672E-03
            9099         11.5151    -128.855E-03         11.5137    -127.541E-03
            9100         11.3130    -138.216E-03         11.3113    -138.608E-03
            9101         11.4532    -120.652E-03         11.4519    -125.158E-03
            9102         11.5427    -129.427E-03         11.5412    -133.354E-03
            9103         11.5159    -129.430E-03         11.5145    -128.995E-03
            9104         11.5101    -130.124E-03         11.5086    -131.223E-03
            9105         11.5366    -130.133E-03         11.5351    -135.507E-03
            9106         11.5134    -128.190E-03         11.5120    -126.160E-03
            9107         11.5266    -131.304E-03         11.5250    -138.250E-03
            9108         11.4835    -130.705E-03         11.4819    -132.625E-03
            9109         11.4950    -130.651E-03         11.4935    -132.689E-03
            9110         11.5551    -128.734E-03         11.5537    -131.909E-03
            9111         11.5484    -128.812E-03         11.5469    -131.771E-03
            9112         11.5288    -131.920E-03         11.5272    -140.152E-03
            9113         11.5076    -127.447E-03         11.5062    -124.307E-03
            9114         11.5150    -129.896E-03         11.5135    -130.324E-03
            9115         11.5387    -129.625E-03         11.5372    -134.166E-03
            9116         11.5247    -131.059E-03         11.5231    -137.484E-03
            9117         11.4960    -130.875E-03         11.4945    -133.306E-03
            9118         11.5165    -128.428E-03         11.5151    -126.908E-03
            9119         11.5444    -128.643E-03         11.5429    -131.094E-03
            9120         11.4829    -131.150E-03         11.4813    -133.630E-03
            9121         11.5468    -128.293E-03         11.5453    -130.696E-03
            9122         11.5182    -131.962E-03         11.5166    -139.654E-03
            9123         11.5096    -127.412E-03         11.5082    -124.837E-03
            9124         11.5422    -129.082E-03         11.5408    -131.852E-03
            9125         11.5056    -130.481E-03         11.5041    -132.586E-03
            9126         11.5181    -128.976E-03         11.5167    -128.025E-03
            9127         11.5296    -130.501E-03         11.5280    -136.349E-03
            9128         11.5187    -129.624E-03         11.5172    -129.464E-03
            9129         11.5338    -129.966E-03         11.5323    -135.028E-03
            9130         11.5129    -130.307E-03         11.5115    -131.706E-03
            9131         11.5396    -129.286E-03         11.5381    -132.835E-03
            9132         11.5195    -131.029E-03         11.5180    -137.021E-03
            9133         11.5190    -128.447E-03         11.5176    -127.302E-03
            9134         11.4991    -130.976E-03         11.4976    -133.883E-03
            9135         11.5394    -128.632E-03         11.5380    -130.574E-03
            9136         11.5364    -129.567E-03         11.5349    -133.779E-03
            9137         11.5173    -130.079E-03         11.5158    -130.690E-03
            9138         11.5213    -129.150E-03         11.5199    -128.504E-03
            9139         11.5265    -130.507E-03         11.5250    -135.864E-03
            9140         11.5094    -130.556E-03         11.5079    -133.136E-03
            9141         11.5130    -131.622E-03         11.5114    -138.425E-03
            9142         11.5142    -127.770E-03         11.5128    -125.960E-03
            9143         11.5384    -129.052E-03         11.5369    -131.344E-03
            9144         11.5210    -129.828E-03         11.5196    -130.136E-03
            9145         11.5323    -129.777E-03         11.5308    -134.313E-03
            9146         11.5362    -129.261E-03         11.5347    -132.695E-03
            9147         11.5169    -130.277E-03         11.5154    -131.948E-03
            9148         11.5040    -130.925E-03         11.5025    -134.352E-03
            9149         11.5232    -128.609E-03         11.5217    -128.009E-03
            9150         11.5166    -130.939E-03         11.5151    -136.286E-03
            9151         11.5352    -128.570E-03         11.5338    -130.109E-03
            9152         11.5248    -129.241E-03         11.5234    -129.308E-03
            9153         11.5253    -130.197E-03         11.5237    -135.141E-03
            9154         11.4917    -131.590E-03         11.4901    -134.889E-03
            9155         11.5142    -130.443E-03         11.5127    -133.498E-03
            9156         11.5071    -131.474E-03         11.5056    -137.446E-03
            9157         11.5193    -127.962E-03         11.5179    -126.937E-03
            9158         11.5349    -127.871E-03         11.5335    -129.493E-03
            9159         11.5348    -129.017E-03         11.5333    -131.109E-03
            9160         11.5229    -129.870E-03         11.5214    -131.758E-03
