********************************************************************************
Field Output Report, written Wed Nov  4 12:01:04 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/RotationalRobot/80kPaNoInt.odb
   Step: Pressure-Load
   Frame: Increment     11: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLANARROBOT

      Node Label     U.Magnitude            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1          @Loc 1
---------------------------------------------------------------------------------
            1670     21.0361E-06     11.9666E-06     3.96106E-06     16.8413E-06
            1671     8.96136E-06     3.41884E-06     1.12975E-06     8.20617E-06
            1672     2.27320E-06     63.1026E-09     743.006E-09     2.14741E-06
            1673     9.28427E-06    -3.15345E-06     700.541E-09     8.70417E-06
            1674     21.7371E-06    -11.8542E-06     1.79734E-06     18.1314E-06
            1675     36.5002E-06    -25.0547E-06     9.16805E-06     24.9093E-06
            1676     31.3951E-06    -28.8620E-06     8.55665E-06     8.91202E-06
            1677     22.5570E-06    -21.6768E-06     6.23980E-06     45.2319E-09
            1678     4.55096E-06     1.69834E-06    -64.4801E-09    -4.22169E-06
            1679     7.25033E-06     6.94484E-06    -1.71524E-06    -1.18085E-06
            1680     6.92859E-06     6.89985E-06    -619.146E-09     118.660E-09
            1681     9.06350E-06     8.34007E-06    -1.17016E-06    -3.34976E-06
            1682     19.9771E-06     18.8376E-06    -849.233E-09    -6.59619E-06
            1683     29.6159E-06     28.7499E-06    -6.24622E-06    -3.39575E-06
            1684     31.1190E-06     28.8285E-06    -8.54892E-06     8.01407E-06
            1685     26.9729E-06    -22.8932E-06     5.48735E-06     13.1653E-06
            1686     44.6451E-06    -43.4253E-06     10.2877E-06    -1.25971E-06
            1687     65.5877E-06    -48.9046E-06     17.7962E-06    -39.9171E-06
            1688     37.8316E-06    -22.5863E-06     5.02438E-06    -29.9306E-06
            1689     15.5312E-06    -5.87473E-06     2.04438E-06    -14.2312E-06
            1690     3.74781E-06    -30.2252E-09     1.19752E-06    -3.55121E-06
            1691     16.0396E-06     6.71865E-06    -608.235E-09    -14.5519E-06
            1692     31.4031E-06     20.0057E-06     3.03930E-06    -24.0143E-06
            1693     48.7144E-06     36.6803E-06     12.2692E-06    -29.6161E-06
            1694     32.4296E-06     30.8547E-06     9.81417E-06    -1.83044E-06
            1695     20.8185E-06     17.8823E-06     5.85223E-06     8.90986E-06
            1696     29.0272E-06     27.6549E-06    -1.54781E-06     8.68272E-06
            1697     34.6852E-06     34.3651E-06     2.98805E-06    -3.62930E-06
            1698     40.6043E-06     35.7540E-06     4.97481E-06    -18.5907E-06
            1699     49.0246E-06     34.3360E-06     6.99650E-06    -34.2856E-06
            1700     46.1516E-06     22.6523E-06     9.93649E-06    -38.9630E-06
            1701     41.7550E-06     4.78302E-06     11.6848E-06    -39.8004E-06
            1702     42.7654E-06    -15.0414E-06     12.6524E-06    -37.9810E-06
            1703     44.7216E-06    -28.9644E-06     7.86780E-06    -33.1540E-06
            1704     40.6920E-06    -32.2235E-06     4.55605E-06    -24.4281E-06
            1705     31.6358E-06    -30.7580E-06     1.86294E-06    -7.16196E-06
            1706     26.6765E-06    -26.3686E-06     773.987E-09     3.96665E-06
            1707     16.1720E-06    -11.9332E-06    -1.29120E-06     10.8381E-06
            1708     14.8494E-06     10.6335E-06     1.46842E-06     10.2605E-06
            1709     27.8735E-06     27.5408E-06     4.28747E-06    -233.091E-09
            1710     42.4834E-06     38.5609E-06     6.54686E-06    -16.5842E-06
            1711     45.0697E-06     36.5855E-06     1.74939E-06    -26.2625E-06
            1712     40.1089E-06     25.6765E-06    -5.02275E-06    -30.4008E-06
            1713     40.0135E-06     13.2191E-06    -2.38423E-06    -37.6916E-06
            1714     42.6231E-06    -1.44929E-06    -5.92080E-06    -42.1850E-06
            1715     45.3234E-06    -18.7221E-06    -3.01312E-06    -41.1656E-06
            1716     54.7716E-06    -38.5988E-06    -2.65496E-06    -38.7687E-06
            1717     62.7322E-06    -52.5444E-06     8.53502E-06    -33.1899E-06
            1718     47.9637E-06    -45.8724E-06     7.98614E-06    -11.5091E-06
            1719     27.8551E-06    -26.2758E-06     3.97926E-06     8.34594E-06
            1720     22.2968E-06    -21.8825E-06     3.24081E-06     2.79315E-06
            1721     31.1982E-06    -27.8622E-06     5.26702E-06     13.0109E-06
            1722     35.2933E-06    -27.8955E-06     4.91962E-06     21.0536E-06
            1723     28.8207E-06    -19.1070E-06    -199.051E-09     21.5758E-06
            1724     24.0494E-06    -9.42946E-06    -2.45497E-06     21.9871E-06
            1725     24.5095E-06    -1.79247E-06    -2.89229E-06     24.2721E-06
            1726     24.0909E-06     5.35067E-06    -3.18633E-06     23.2721E-06
            1727     26.8031E-06     14.5363E-06    -2.94299E-06     22.3258E-06
            1728     34.5143E-06     25.3302E-06     1.60024E-06     23.3892E-06
            1729     38.7708E-06     32.9232E-06     4.16766E-06     20.0465E-06
            1730     29.4195E-06     27.7349E-06     5.23824E-06     8.29705E-06
            1731     18.1461E-06     17.9060E-06     2.63716E-06    -1.30444E-06
            1732     6.34822E-06     4.86800E-06     527.312E-09    -4.04035E-06
            1733     6.20127E-06    -5.85151E-06    -60.4355E-09    -2.05229E-06
            1734     11.0208E-06    -10.7812E-06     950.033E-09     2.07871E-06
            1735     15.6793E-06    -13.9030E-06     2.88789E-06     6.64888E-06
            1736     17.4726E-06    -15.5298E-06     6.85835E-06     4.13279E-06
            1737     16.6412E-06    -10.9054E-06     11.5751E-06    -4.90081E-06
            1738     15.3606E-06     3.82948E-06     11.3582E-06    -9.60599E-06
            1739     17.9434E-06     14.5775E-06     10.4184E-06    -958.909E-09
            1740     17.1859E-06     15.4081E-06     4.98852E-06     5.74959E-06
            1741     12.7826E-06     11.9738E-06     2.14344E-06     3.92805E-06
            1742     8.45687E-06     8.42417E-06     732.339E-09    -124.941E-09
            1743     3.41988E-06     1.05961E-06     259.887E-09    -3.24118E-06
            1744     4.17542E-06    -51.7570E-09     156.700E-09    -4.17215E-06
            1745     15.5649E-06     15.0734E-06     3.56423E-06     1.53475E-06
            1746     29.1685E-06     24.8850E-06     7.12277E-06     13.4465E-06
            1747     40.7970E-06     27.5016E-06     13.3872E-06     26.9970E-06
            1748     43.7980E-06     20.1027E-06     17.0473E-06     34.9791E-06
            1749     44.4680E-06     4.11082E-06     20.5664E-06     39.2113E-06
            1750     45.0424E-06    -13.5136E-06     19.8585E-06     38.1030E-06
            1751     44.0329E-06    -25.7040E-06     14.7065E-06     32.5870E-06
            1752     37.4262E-06    -28.7371E-06     10.3536E-06     21.6264E-06
            1753     25.0182E-06    -22.6884E-06     7.22138E-06     7.68096E-06
            1754     9.95688E-06    -9.43157E-06     2.31648E-06    -2.19519E-06
            1755     10.0048E-06     8.75557E-06    -1.07096E-06    -4.72122E-06
            1756     26.6073E-06     26.3902E-06    -3.19130E-06     1.15045E-06
            1757     41.4079E-06     39.0225E-06    -4.36711E-06     13.1446E-06
            1758     54.3033E-06     44.4551E-06    -8.07718E-06     30.1221E-06
            1759     59.9150E-06     39.2002E-06    -10.6392E-06     44.0450E-06
            1760     57.4918E-06     25.7504E-06    -11.5013E-06     50.0993E-06
