********************************************************************************
Field Output Report, written Wed Nov 11 14:22:08 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/80kPaNonLinear/80kPaNonLinear.odb
   Step: Step-Pressure
   Frame: Increment      8: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude
                          @Loc 1
---------------------------------
           20581         35.3637
           20644         35.3359
           20645         35.3452
           20646         35.3401
           20648         35.3467
           20649         35.3518
           20654         34.7696
           20658         35.1566
           20856         34.8920
           20894         34.8140
           20895         34.8465
           20937         34.8235
           20938         34.7962
           20982         35.0157
           21001         35.1743
           21012         34.9597
           21081         35.4501
           21082         35.4515
           21137         35.3033
           21138         35.2831
           21177         35.3025
           21191         35.0213
           21217         35.1410
           21219         35.1634
           21229         35.1421
           21230         35.1295
           21233         35.3249
           21281         35.3197
           21285         35.3261
           21286         35.3350
           21292         35.3633
           21303         35.3692
           21316         35.4502
           21359         34.7262
           21360         34.7554
           21361         34.7323
           21377         34.8355
           21385         35.3686
           21386         35.3440
           21454         35.3618
           21546         35.2194
           21570         34.7978
           21571         34.8496
           21626         35.2287
           21708         35.2677
           21737         34.9787
           21738         34.9438
           21740         34.9065
           21741         34.9536
           21742         34.9197
           21745         34.6806
           21756         34.5093
           21757         34.5444
           21833         34.7572
           21839         35.3994
           21949         35.3061
           21950         35.3064
           21951         35.3104
           21972         35.3984
           22030         35.3926
           22075         35.2459
           22076         35.2093
           22160         35.3897
           22177         35.3969
           22222         34.9980
           22223         34.9684
           22239         35.4469
           22240         35.4437
           22250         34.8679
           22251         34.8273
           22272         35.4205
           22273         35.4066
           22357         35.2862
           22358         35.2652
           22422         35.3792
           22427         35.3586
           22428         35.3684
           22523         35.4756
           22556         35.3553
           22557         35.3529
           22564         35.3598
           22666         35.2964
           22667         35.2711
           22681         34.9557
           22729         35.0011
           22730         35.0425
           22829         34.3131
           22835         34.6234
           22876         35.3568
           22889         34.6704
           22891         34.6226
           22892         35.3515
           22898         35.3649
           22909         35.4173
           22910         35.4237
           22911         35.4284
           23006         35.4251
           23021         35.4322
           23042         35.4279
           23072         35.4052
           23086         35.1310
           23101         35.4106
           23102         35.4058
           23132         35.2958
           23147         35.3411
           23362         35.3527
           23419         35.4247
           23423         35.3530
           23541         35.3761
           23662         35.2630
           23663         35.2928
           23728         35.3437
           23814         35.2543
           23820         35.2790
           23850         35.3136
           23884         35.3173
           23891         35.3025
           23944         34.9856
           23998         34.8558
           24001         34.8748
           24011         34.9076
           24012         34.9215
           24026         35.0946
           24027         35.1439
           24054         35.1242
           24059         35.1672
           24062         35.1959
           24065         35.1490
           24066         35.1165
           24097         35.1714
           24132         35.0743
           24163         34.9823
           24167         34.9748
           24293         35.2883
           24431         35.0600
           24432         35.0953
           24443         35.0058
           24445         34.9899
           24446         35.1351
           24447         35.1689
           24451         34.6518
           24496         34.8799
           24544         34.7713
           24703         34.8957
           24790         35.0253
           24856         35.0870
           24952         35.0205
           25530         35.0576
           26142         35.1464
           26143         35.1108
           26144         35.1180
           26204         35.2885
           26699         34.9102
           26919         35.1140
           27350         34.6856
           27445         34.5278
           30903         35.4165
           31047         35.3417
           31151         35.0720
           31154         34.8289
           31157         34.8757
           31393         35.1959
           31559         35.2615
           31822         34.5658
           31823         34.5778
           32033         35.1328
           32104         35.1930
           32144         34.5073
           32184         35.0516
           32307         35.3375
           32699         35.0340
           32988         34.6297
           32990         34.5856
           33085         34.6486
           33086         34.6278
           33087         34.6297
           33969         35.3601
           34078         34.7752
           34510         34.4522
           34511         34.4297
           34512         34.4389
           34524         34.3419
           35105         35.3565
           35426         35.1322
           35456         35.3463
           35571         35.2772
           35908         35.1440
           35925         35.2114
           36397         34.6315
           36820         35.0250
           37494         34.8295
           37847         35.3586
           37848         35.3534
           38704         35.3163
           38828         35.3554
           39110         35.1913
           39111         35.1492
           39172         35.2758
           39173         35.2526
           39174         35.2664
           39213         35.2562
           39284         34.8530
           39354         35.4527
           39355         35.4584
           39356         35.4540
           39411         34.3914
           39538         35.3451
           39901         35.3731
           40826         35.4434
           41626         35.4902
           42146         34.5904
           42147         34.5540
           42148         34.5521
           42382         34.8554
           42492         35.1231
           42493         35.1010
           42494         35.0874
           42608         35.4716
           43708         35.3087
           43740         35.4674
           43761         35.3492
           43790         35.3355
           43865         35.2891
           43866         35.2673
           43867         35.2667
           43888         35.2841
           43889         35.3039
           43890         35.2908
           43898         35.0778
           43916         34.7607
           43920         34.7388
           43921         34.7579
           43929         35.4172
           43930         35.4065
           43942         35.3941
           44228         35.4339
           44719         35.3104
           45445         35.3147
           45446         35.3043
           45576         34.6867
           45985         34.5015
           46087         35.1712
           46088         35.1523
           46252         35.2752
           46268         34.4141
           46269         34.4199
           46272         34.7003
           46274         34.6827
           46279         35.4730
           46381         35.5059
           46388         35.3078
           46402         35.2886
           46452         34.5093
           46457         34.4346
           46586         35.3318
           46680         34.8018
           46681         34.7892
           46781         35.0470
           47100         34.5615
           47165         35.2838
           47427         34.7597
           48555         35.3187
           48559         35.3175
           48560         35.3158
           48809         34.7395
           48810         34.7102
           48820         35.3191
           49000         35.3474
           50178         34.8918
           50310         34.7506
           50313         34.7312
           50534         34.7706
           51149         35.3304
